"","StudyDay","Datep","Year","Month","Week"
"1",1,2017-11-11,"2017","Nov","45"
"2",2,2017-11-12,"2017","Nov","45"
"3",3,2017-11-13,"2017","Nov","46"
"4",4,2017-11-14,"2017","Nov","46"
"5",5,2017-11-15,"2017","Nov","46"
"6",6,2017-11-16,"2017","Nov","46"
"7",7,2017-11-17,"2017","Nov","46"
"8",8,2017-11-18,"2017","Nov","46"
"9",9,2017-11-19,"2017","Nov","46"
"10",10,2017-11-20,"2017","Nov","47"
"11",11,2017-11-21,"2017","Nov","47"
"12",12,2017-11-22,"2017","Nov","47"
"13",13,2017-11-23,"2017","Nov","47"
"14",14,2017-11-24,"2017","Nov","47"
"15",15,2017-11-25,"2017","Nov","47"
"16",16,2017-11-26,"2017","Nov","47"
"17",17,2017-11-27,"2017","Nov","48"
"18",18,2017-11-28,"2017","Nov","48"
"19",19,2017-11-29,"2017","Nov","48"
"20",20,2017-11-30,"2017","Nov","48"
"21",21,2017-12-01,"2017","Dec","48"
"22",22,2017-12-02,"2017","Dec","48"
"23",23,2017-12-03,"2017","Dec","48"
"24",24,2017-12-04,"2017","Dec","49"
"25",25,2017-12-05,"2017","Dec","49"
"26",26,2017-12-06,"2017","Dec","49"
"27",27,2017-12-07,"2017","Dec","49"
"28",28,2017-12-08,"2017","Dec","49"
"29",29,2017-12-09,"2017","Dec","49"
"30",30,2017-12-10,"2017","Dec","49"
"31",31,2017-12-11,"2017","Dec","50"
"32",32,2017-12-12,"2017","Dec","50"
"33",33,2017-12-13,"2017","Dec","50"
"34",34,2017-12-14,"2017","Dec","50"
"35",35,2017-12-15,"2017","Dec","50"
"36",36,2017-12-16,"2017","Dec","50"
"37",37,2017-12-17,"2017","Dec","50"
"38",38,2017-12-18,"2017","Dec","51"
"39",39,2017-12-19,"2017","Dec","51"
"40",40,2017-12-20,"2017","Dec","51"
"41",41,2017-12-21,"2017","Dec","51"
"42",42,2017-12-22,"2017","Dec","51"
"43",43,2017-12-23,"2017","Dec","51"
"44",44,2017-12-24,"2017","Dec","51"
"45",45,2017-12-25,"2017","Dec","52"
"46",46,2017-12-26,"2017","Dec","52"
"47",47,2017-12-27,"2017","Dec","52"
"48",48,2017-12-28,"2017","Dec","52"
"49",49,2017-12-29,"2017","Dec","52"
"50",50,2017-12-30,"2017","Dec","52"
"51",51,2017-12-31,"2017","Dec","52"
"52",52,2018-01-01,"2018","Jan","01"
"53",53,2018-01-02,"2018","Jan","01"
"54",54,2018-01-03,"2018","Jan","01"
"55",55,2018-01-04,"2018","Jan","01"
"56",56,2018-01-05,"2018","Jan","01"
"57",57,2018-01-06,"2018","Jan","01"
