Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
RICH01,885,InnoTech266,Homo sapiens,RICH01_885,2017-11-11 09:12:26,2017-11-11,09:12:26,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,11ada890-de3f-492b-a05a-923093eb3397.jpg
RICH08,899,InnoTech265,Lepus americanus,RICH08_899,2017-11-12 03:37:49,2017-11-12,03:37:49,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,c6887266-c85c-46d8-8f94-857c3c933cac.jpg
RICH08,899,InnoTech265,Lepus americanus,RICH08_899,2017-11-13 00:51:32,2017-11-13,00:51:32,76423,1273,21.2,0.9,C:\Users\WildCoLab\AppData\Local\camelot\Media,e235eefa-3bcc-4924-88a4-ebf3fbca1187.jpg
RICH15,913,InnoTech257,Lontra canadensis,RICH15_913,2017-11-13 07:20:50,2017-11-13,07:20:50,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,5e750946-73b8-46a8-ae4e-a7fa6a1a2e05.jpg
RICH19,921,InnoTech260,Rangifer tarandus,RICH19_921,2017-11-13 13:20:49,2017-11-13,13:20:49,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,1c7b8590-8c54-4d24-b384-4e1b2f9e6ba1.jpg
RICH16,915,InnoTech256,Lepus americanus,RICH16_915,2017-11-13 19:37:55,2017-11-13,19:37:55,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,bbda3b9b-abca-4105-9222-677e43aadc9b.jpg
RICH15,913,InnoTech257,No Animal,RICH15_913,2017-11-14 04:40:50,2017-11-14,04:40:50,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,5323e9ed-dc8b-466c-adc7-e146139743d7.jpg
RICH16,915,InnoTech256,Lepus americanus,RICH16_915,2017-11-14 05:06:04,2017-11-14,05:06:04,34089,568,9.5,0.4,C:\Users\WildCoLab\AppData\Local\camelot\Media,4231c11a-2abc-48f5-b570-c098d8ca0d62.jpg
RICH16,915,InnoTech256,Lepus americanus,RICH16_915,2017-11-14 06:05:47,2017-11-14,06:05:47,3583,59,1.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,f2c21922-c15d-47c0-9ff3-ed1e6a05019b.jpg
RICH13,909,InnoTech255,Lynx canadensis,RICH13_909,2017-11-14 06:30:09,2017-11-14,06:30:09,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,bb94f44b-44a0-4053-a33e-5324150c9318.jpg
RICH27,937,InnoTech242,No Animal,RICH27_937,2017-11-14 08:21:13,2017-11-14,08:21:13,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,a74637aa-48d1-4302-af65-3c30d3a290aa.jpg
RICH26,935,InnoTech258,No Animal,RICH26_935,2017-11-14 17:18:59,2017-11-14,17:18:59,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,1222229a-15e4-4906-9272-496f03a3a6c7.jpg
RICH03,889,InnoTech264,No Animal,RICH03_889,2017-11-14 17:36:07,2017-11-14,17:36:07,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,51b805b4-3e85-47d6-ab19-2a79708d416b.jpg
RICH04,891,InnoTech268,No Animal,RICH04_891,2017-11-14 17:56:45,2017-11-14,17:56:45,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,2011e785-12f1-424e-9823-a7090513e851.jpg
RICH16,915,InnoTech256,Lepus americanus,RICH16_915,2017-11-14 18:00:56,2017-11-14,18:00:56,42909,715,11.9,0.5,C:\Users\WildCoLab\AppData\Local\camelot\Media,73a81734-ba2c-45b9-9558-e4c90a1a1b7a.jpg
RICH20,923,InnoTech254,No Animal,RICH20_923,2017-11-14 18:45:15,2017-11-14,18:45:15,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,58b302d7-397c-4b1c-87f2-d9ab13ab9d9f.jpg
RICH21,925,InnoTech276,No Animal,RICH21_925,2017-11-14 18:58:41,2017-11-14,18:58:41,0,0,0.0,0.0,C:\Users\WildCoLab\AppData\Local\camelot\Media,8fa29da8-f9b5-4284-acee-448a91845acf.jpg
RICH27,937,InnoTech242,No Animal,RICH27_937,2017-11-14 19:13:29,2017-11-14,19:13:29,39136,652,10.9,0.5,C:\Users\WildCoLab\AppData\Local\camelot\Media,681d27dd-0e1a-4a92-a681-cedb5dee9b36.jpg
