Absolute Path,Camera ID,Make,Model,Camera Name,Attention Needed Flag,Camera Check Flag,Date/Time,Media created,Media Filename,Media Format,Media ID,Media Processed Flag,Media updated,Media URI,Exposure Bias Value,Flash,Aperture Value,Focal Length,ISO Speed Ratings,Orientation,Image Height,Image Width,Sighting Created,Sighting ID,Sighting Life Stage,Sighting Quantity,Sighting Sex,Sighting Updated,Site Area (km2),City,Country/Primary Location Name,Site ID,Site Name,Province/State,Sub-location,Species Mass End,Species Mass ID,Species Mass Start,Survey ID,Survey Name,Survey Site ID,Class,Species Common Name,Taxonomy created,Family,Genus,Species ID,Species,Order,Species,Taxonomy updated,GPS Altitude,Trap Station ID,Camelot GPS Latitude,Camelot GPS Longitude,Trap Station Name,Trap Station Session Camera ID,Session End Date,Trap Station Session ID,Session Start Date,Photograph Type,Identified By,Group Count,Coat Colour,Timelapse,Comments,Behaviour,Collar,Age Category,Misfire,Snow
C:\Users\WildCoLab\AppData\Local\camelot\Media\db\db63a806-a8cc-41eb-be3b-e54a44d2424c.jpg,630,Reconyx,PC900,InnoTech263,FALSE,FALSE,2018-03-28T14:22:12.000Z,2018-04-24T18:12:07.312Z,db63a806-a8cc-41eb-be3b-e54a44d2424c,jpg,46156,TRUE,2018-04-24T18:12:07.312Z,,4 sec,"Flash did not fire, auto",,,0,,800,600,2018-04-26T16:35:40.377Z,30340,unidentified,1,unidentified,2018-04-26T16:35:40.377Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,,No Animal,2017-11-22T00:34:22.266Z,,No,101,No Animal,,Animal,2017-11-22T00:34:22.266Z,,623,57.764178,-111.085197,RICH30,943,2018-04-11T00:00:00.000Z,944,2017-11-13T00:00:00.000Z,Misfire,JB,,,FALSE,Codeloc error,,FALSE,Unidentified,TRUE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\d7\d79ee6f0-54fe-4de9-a7ae-85dca4919778.jpg,640,Reconyx,PC900,InnoTechUnknown,FALSE,FALSE,2018-03-12T16:36:04.000Z,2018-04-24T18:04:10.377Z,d79ee6f0-54fe-4de9-a7ae-85dca4919778,jpg,43930,TRUE,2018-04-24T18:04:10.377Z,,13/8640 sec,"Flash did not fire, auto",,,50,,2048,1536,2018-04-25T17:36:51.288Z,27640,unidentified,1,unidentified,2018-04-25T17:36:51.288Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,,No Animal,2017-11-22T00:34:22.266Z,,No,101,No Animal,,Animal,2017-11-22T00:34:22.266Z,,610,57.728453,-110.801498,RICH18,917,2018-04-10T00:00:00.000Z,918,2017-11-12T00:00:00.000Z,Misfire,JB,,,FALSE,Branch in fov likely causing misfire,,,Unidentified,TRUE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\94\943913b6-a026-4610-8a84-7788dea663e0.jpg,636,Reconyx,PC900,InnoTech275,FALSE,FALSE,2018-03-26T18:09:09.000Z,2018-04-24T18:08:54.377Z,943913b6-a026-4610-8a84-7788dea663e0,jpg,45022,TRUE,2018-04-24T18:08:54.377Z,,1/720 sec,"Flash did not fire, auto",,,50,,2048,1536,2018-04-25T20:35:27.886Z,28645,unidentified,1,unidentified,2018-04-25T20:35:27.886Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,,No Animal,2017-11-22T00:34:22.266Z,,No,101,No Animal,,Animal,2017-11-22T00:34:22.266Z,,615,57.758106,-110.77559,RICH22,927,2018-04-11T00:00:00.000Z,928,2017-11-13T00:00:00.000Z,Misfire,JB,,,FALSE,Sun angle,,FALSE,Unidentified,TRUE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\ab\abcb4549-fe5f-4793-8dc8-92cc0b9f52aa.jpg,620,Reconyx,PC900,InnoTech253,FALSE,FALSE,2017-11-23T14:29:25.000Z,2018-04-24T18:09:57.948Z,abcb4549-fe5f-4793-8dc8-92cc0b9f52aa,jpg,45351,TRUE,2018-04-24T18:09:57.948Z,,83/8640 sec,"Flash did not fire, auto",,,100,,2048,1536,2018-04-26T04:43:32.725Z,29761,unidentified,1,F,2018-04-26T04:45:35.384Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,Mammalia,Caribou,2017-10-31T22:18:28.234Z,Cervidae,Rangifer,11,Rangifer tarandus,Artiodactyla,tarandus,2018-04-24T00:09:09.409Z,,617,57.81313,-110.764629,RICH24,931,2018-04-11T00:00:00.000Z,932,2017-11-13T00:00:00.000Z,Animal,JB,1,,FALSE,GPS collar; no visible penis sheath + collar = high confidence in sex,Travelling,TRUE,Adult,FALSE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\fd\fd9f80f1-a865-4cbc-92ed-0021f6a57750.jpg,623,Reconyx,PC900,InnoTech256,FALSE,FALSE,2017-12-02T02:36:03.000Z,2018-04-24T18:03:04.335Z,fd9f80f1-a865-4cbc-92ed-0021f6a57750,jpg,43593,TRUE,2018-04-24T18:03:04.335Z,,1/60 sec,"Flash fired, auto",,,800,,2048,1536,2018-04-25T16:35:16.730Z,27370,unidentified,1,unidentified,2018-04-25T16:35:16.730Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,Mammalia,Snowshoe Hare,2017-10-31T22:18:26.703Z,Leporidae,Lepus,9,Lepus americanus,Lagomorpha,americanus,2017-10-31T22:18:26.703Z,,609,57.708854,-110.826409,RICH16,915,2018-04-10T00:00:00.000Z,916,2017-11-12T00:00:00.000Z,Animal,JB,1,,FALSE,,Foraging,,Adult,FALSE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\4e\4ef53aa9-96a6-4737-9c26-5c9bf70eb0b1.jpg,640,Reconyx,PC900,InnoTechUnknown,FALSE,FALSE,2018-03-14T15:37:15.000Z,2018-04-24T18:04:29.080Z,4ef53aa9-96a6-4737-9c26-5c9bf70eb0b1,jpg,44111,TRUE,2018-04-24T18:04:29.080Z,,1/1080 sec,"Flash did not fire, auto",,,50,,2048,1536,2018-04-25T17:47:56.731Z,27820,unidentified,1,unidentified,2018-04-25T17:47:56.731Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,,No Animal,2017-11-22T00:34:22.266Z,,No,101,No Animal,,Animal,2017-11-22T00:34:22.266Z,,610,57.728453,-110.801498,RICH18,917,2018-04-10T00:00:00.000Z,918,2017-11-12T00:00:00.000Z,Misfire,JB,,,FALSE,Likely branch triggering camera,,,Unidentified,TRUE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\64\64af9da1-d8aa-467b-a08e-c1e9bca0d849.jpg,618,Reconyx,PC900,InnoTech251,FALSE,TRUE,2017-11-13T12:39:06.000Z,2018-04-24T18:11:30.254Z,64af9da1-d8aa-467b-a08e-c1e9bca0d849,jpg,45827,TRUE,2018-04-24T18:11:30.254Z,,11/1728 sec,"Flash did not fire, auto",,,50,,2048,1536,,,,,,,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,,,,,,,,,,,,622,57.783436,-111.071033,RICH29,941,2018-04-11T00:00:00.000Z,942,2017-11-13T00:00:00.000Z,,,,,,,,,,,
C:\Users\WildCoLab\AppData\Local\camelot\Media\f0\f0b5df69-397d-40d6-90d0-972a43efd62f.jpg,640,Reconyx,PC900,InnoTechUnknown,FALSE,FALSE,2018-03-14T07:43:59.000Z,2018-04-24T18:04:16.612Z,f0b5df69-397d-40d6-90d0-972a43efd62f,jpg,43987,TRUE,2018-04-24T18:04:16.612Z,,1/1728 sec,"Flash did not fire, auto",,,50,,2048,1536,2018-04-25T17:42:55.645Z,27701,unidentified,1,unidentified,2018-04-25T17:42:55.645Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,,No Animal,2017-11-22T00:34:22.266Z,,No,101,No Animal,,Animal,2017-11-22T00:34:22.266Z,,610,57.728453,-110.801498,RICH18,917,2018-04-10T00:00:00.000Z,918,2017-11-12T00:00:00.000Z,Misfire,JB,,,FALSE,Sun angle,,,Unidentified,TRUE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\b0\b05bc782-f283-4126-a6c9-bf90479ff5e8.jpg,624,Reconyx,PC900,InnoTech257,FALSE,FALSE,2018-03-06T00:51:53.000Z,2018-04-24T18:02:44.087Z,b05bc782-f283-4126-a6c9-bf90479ff5e8,jpg,43506,TRUE,2018-04-24T18:02:44.087Z,,1/60 sec,"Flash fired, auto",,,160,,2048,1536,2018-04-25T16:17:14.550Z,27302,unidentified,1,unidentified,2018-04-25T16:17:14.550Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,Mammalia,Snowshoe Hare,2017-10-31T22:18:26.703Z,Leporidae,Lepus,9,Lepus americanus,Lagomorpha,americanus,2017-10-31T22:18:26.703Z,,608,57.736414,-110.742774,RICH15,913,2018-04-10T00:00:00.000Z,914,2017-11-12T00:00:00.000Z,Animal,JB,1,,FALSE,,Travelling,,Adult,FALSE,FALSE
C:\Users\WildCoLab\AppData\Local\camelot\Media\fd\fdb14aeb-0786-47ed-b2a9-d52677283768.jpg,640,Reconyx,PC900,InnoTechUnknown,FALSE,FALSE,2018-03-15T07:43:42.000Z,2018-04-24T18:04:31.164Z,fdb14aeb-0786-47ed-b2a9-d52677283768,jpg,44132,TRUE,2018-04-24T18:04:31.164Z,,1/2880 sec,"Flash did not fire, auto",,,50,,2048,1536,2018-04-25T17:48:18.701Z,27840,unidentified,1,unidentified,2018-04-25T17:48:18.701Z,2800,,Canada,231,Richardson,Alberta,,,,,401,Richardson,204,,No Animal,2017-11-22T00:34:22.266Z,,No,101,No Animal,,Animal,2017-11-22T00:34:22.266Z,,610,57.728453,-110.801498,RICH18,917,2018-04-10T00:00:00.000Z,918,2017-11-12T00:00:00.000Z,Misfire,JB,,,FALSE,Sun angle,,,Unidentified,TRUE,FALSE
